Id,Label,Papers,Degree,Betweenness,Eigenvector,PageRank,Community
P4-20,P4-20,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,158
仲村祐希A7-3○,仲村祐希A7-3○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,159
岡林遥平Q7-12,岡林遥平Q7-12,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,160
山科 勇輔Q5-9○,山科 勇輔Q5-9○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,161
田中 翔平Q3-22,田中 翔平Q3-22,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,162
WeiP1-20○,WeiP1-20○,1,0.00031625553447185326,0.0,4.266785473161131e-24,0.0003257494968085779,163
Q8-3,Q8-3,2,0.0009487666034155598,4.0019681679449953e-07,3.00494910147075e-24,0.0007779008021822697,164
菊池 英明Q5-15,菊池 英明Q5-15,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,165
B4-3,B4-3,4,0.0015812776723592662,0.00026272921022558896,0.07061448844522561,0.0007999685272207645,0
斉藤 辰彦C3-6,斉藤 辰彦C3-6,1,0.0006325110689437065,0.0,2.5681427277530367e-24,0.000521441264648247,166
カン康 シンC4-1,カン康 シンC4-1,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,167
Linking,Linking,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,168
横野光E2-2,横野光E2-2,1,0.0006325110689437065,0.0,1.2682907150637934e-05,0.0002443089638819886,50
オガ緒方 陸A6-4○,オガ緒方 陸A6-4○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,169
箕成 侑音P10-17○,箕成 侑音P10-17○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,170
P1-16,P1-16,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,171
野本忠司B3-2○,野本忠司B3-2○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,172
Okgetheng,Okgetheng,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,173
浅野誉子E7-4,浅野誉子E7-4,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,174
P5-14,P5-14,4,0.0028462998102466793,5.602755435122994e-06,3.154333537027891e-12,0.001155974566884308,106
TengyangA5-3,TengyangA5-3,1,0.00031625553447185326,0.0,5.694734848389023e-23,0.0003172333612237003,175
E7-4,E7-4,5,0.0031625553447185324,0.003176362134897943,0.00047147266464224924,0.000986138248953502,269
Tran,Tran,2,0.001265022137887413,0.00013166475272539035,0.0034240980166552006,0.0005887044093323843,23
セキ関口拓海B1-4○,セキ関口拓海B1-4○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,177
C11-5,C11-5,1,0.0006325110689437065,0.0,1.0877580444836847e-16,0.00038662409396536307,178
山下達雄P2-15,山下達雄P2-15,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,179
鶴田健介P1-15○,鶴田健介P1-15○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,180
石野 亜耶E5-5,石野 亜耶E5-5,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,181
松崎拓也C1-3,松崎拓也C1-3,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,182
アラ荒金究Q7-1○,アラ荒金究Q7-1○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,183
中田 亘C7-2,中田 亘C7-2,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,184
舟山弘晃D4-2,舟山弘晃D4-2,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,185
CanasaiQ6-21,CanasaiQ6-21,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,186
YoshitakaP3-25,YoshitakaP3-25,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,187
髙野志歩Q3-6○,髙野志歩Q3-6○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,188
中島 大C10-3○,中島 大C10-3○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,189
Muhammad YezaD3-3○,Muhammad YezaD3-3○,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,190
MasroorP9-3,MasroorP9-3,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,191
P4-10,P4-10,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,192
ウチ内田巧D6-1○,ウチ内田巧D6-1○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,193
スド須藤克仁B3-6○,スド須藤克仁B3-6○,1,0.0018975332068311196,0.0,0.008774246242245137,0.0004819276641208428,79
趙 梓程P9-21○,趙 梓程P9-21○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,194
A12:質問応答(3),A12:質問応答(3),1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,195
D7-3○,D7-3○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,196
杉浦 尚弥A6-3○,杉浦 尚弥A6-3○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,197
大城絢子D5-2○,大城絢子D5-2○,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,198
マエ前川在Q3-1○,マエ前川在Q3-1○,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,199
Naradowsky,Naradowsky,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,200
大羽未悠E9-1,大羽未悠E9-1,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,201
佐野 峻平P8-17,佐野 峻平P8-17,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,202
清丸寛一E2-4,清丸寛一E2-4,1,0.00031625553447185326,0.0,1.4948478261787146e-05,0.0001642171958012587,83
Q6-15○,Q6-15○,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,203
C1-5,C1-5,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,204
B4-4,B4-4,4,0.0018975332068311196,0.00026312940704238344,0.011393420848232447,0.0006851520402097944,88
ミワ三輪誠P2-16,ミワ三輪誠P2-16,1,0.00031625553447185326,0.0,1.6896133962853735e-05,0.00019776732748021596,478
XincanC4-2○,XincanC4-2○,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,98
P8-25,P8-25,2,0.0015812776723592662,5.002460209931244e-08,0.002025247749997202,0.0006402230019355029,88
P5-22,P5-22,3,0.004427577482605946,0.002106489145965158,0.0377170730979477,0.001331231948271526,23
D4-2,D4-2,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,205
佐藤 京也P10-19,佐藤 京也P10-19,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,206
シブ渋木英潔B3-4,シブ渋木英潔B3-4,1,0.0006325110689437065,0.0,0.004442830017809923,0.00026306853818015266,88
エグ江口 典子B9-5,エグ江口 典子B9-5,1,0.0,0.0,7.24227642828315e-45,7.952254117535715e-05,207
Tang,Tang,1,0.00031625553447185326,0.0,1.5925934288930722e-32,0.0005301367508456396,208
